City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,longyearbyen,78.2186,15.6401,9.91,76,75,1.03,SJ,1692058602
85,greymouth,-42.4667,171.2,8.64,83,97,3.45,NZ,1692058602
86,cannonvale,-20.2833,148.7,21.66,58,22,1.29,AU,1692058603
87,ambon,-3.6954,128.1814,26.0,81,74,5.8,ID,1692058603
88,edinburgh of the seven seas,-37.0676,-12.3116,12.72,74,89,4.9,SH,1692058603
89,chonchi,-42.6128,-73.8092,10.62,93,100,4.47,CL,1692058603
90,colares,38.7992,-9.4469,20.42,79,39,11.18,PT,1692058603
91,adler,43.43,39.92,25.1,94,40,2.0,RU,1692058603
92,wailua homesteads,22.0669,-159.378,30.44,68,0,6.17,US,1692058604
93,aykhal,66.0,111.5,16.04,53,100,3.36,RU,1692058604
94,suntar,62.1444,117.6319,17.6,71,100,2.3,RU,1692058604
95,trinidad,-14.8333,-64.9,19.46,66,76,1.55,BO,1692058604
96,mount pearl,47.5166,-52.7813,15.25,94,100,2.06,CA,1692058490
97,hammerfest,70.6634,23.6821,13.25,94,20,1.03,NO,1692058605
98,prince george,53.9166,-122.753,27.36,34,0,4.12,CA,1692058330
99,hunedoara,45.75,22.9,18.48,62,0,1.51,RO,1692058605
100,tekirova,36.5017,30.5272,31.04,38,4,1.47,TR,1692058605
101,avarua,-21.2078,-159.775,26.03,69,75,4.63,CK,1692058523
102,kone,-21.0595,164.8658,24.82,46,47,1.71,NC,1692058606
103,kitee,62.1,30.15,10.88,90,72,1.49,FI,1692058606
104,jaithari,23.2333,78.6167,23.06,91,56,1.96,IN,1692058606
105,cruz del eje,-30.7264,-64.8039,15.61,31,29,3.94,AR,1692058606
106,komsomol'skiy,43.9783,46.6985,23.29,89,1,1.57,RU,1692058607
107,yeniseysk,58.4497,92.1703,13.13,96,100,4.66,RU,1692058607
108,dudinka,69.4058,86.1778,12.57,72,73,1.71,RU,1692058607
109,susuman,62.7833,148.1667,22.16,42,98,3.79,RU,1692058607
